dataset,numelements,load_factor,hash,reducer,min,max,std_dev,empty_slots,empty_slots_percent,colliding_slots,colliding_slots_percent,total_colliding_keys,total_colliding_keys_percent,nanoseconds_total,nanoseconds_per_key
books_200M_uint32,199999999,0.750000,tabulation_small64,fastrange64,0,9225,3.017591,195821554,0.734331,49604779,0.186018,178759667,0.893798,10871430557,54.357153
books_200M_uint32,199999999,0.750000,tabulation_small64,branchless_fast_modulo,0,9225,3.018951,195845200,0.734420,49585413,0.185945,178763947,0.893820,11012227552,55.061138
books_200M_uint32,199999999,1.000000,city128_low,fastrange32,0,11,1.000196,73590090,0.367950,52848315,0.264242,126438405,0.632192,14648332349,73.241662
books_200M_uint32,199999999,0.750000,tabulation_large64,fastrange32,0,10,1.000169,125982484,0.472434,46235289,0.173382,105551107,0.527756,9316044349,46.580222
books_200M_uint32,199999999,1.000000,city128_low,fastrange64,0,11,1.000103,73582742,0.367914,52847510,0.264238,126430252,0.632151,15481576214,77.407881
books_200M_uint32,199999999,0.750000,tabulation_large64,fastrange64,0,9,0.999835,125947379,0.472303,46222603,0.173335,105503316,0.527517,9438896877,47.194485
books_200M_uint32,199999999,0.750000,tabulation_large64,branchless_fast_modulo,0,10,1.000107,125976898,0.472413,46234257,0.173378,105544489,0.527722,10840149881,54.200750
books_200M_uint32,199999999,1.000000,city128_low,branchless_fast_modulo,0,11,1.000064,73578862,0.367894,52848340,0.264242,126427202,0.632136,14825492824,74.127464
books_200M_uint32,199999999,0.750000,city64,fastrange32,0,10,1.000210,125985089,0.472444,46237657,0.173391,105556080,0.527780,9165642477,45.828213
books_200M_uint32,199999999,1.000000,city128_upp,fastrange32,0,11,1.000261,73595178,0.367976,52845309,0.264227,126440487,0.632202,16698266881,83.491335
books_200M_uint32,199999999,0.750000,city64,fastrange64,0,11,1.000064,125972479,0.472397,46233203,0.173375,105539016,0.527695,9027476919,45.137385
books_200M_uint32,199999999,0.750000,city64,branchless_fast_modulo,0,11,0.999948,125959128,0.472347,46227891,0.173355,105520353,0.527602,10733531879,53.667660
books_200M_uint32,199999999,1.000000,city128_upp,fastrange64,0,11,0.999889,73567285,0.367836,52847547,0.264238,126414832,0.632074,15153120296,75.765602
books_200M_uint32,199999999,0.750000,city128_low,fastrange32,0,11,1.000091,125974404,0.472404,46232394,0.173371,105540132,0.527701,14100530235,70.502652
books_200M_uint32,199999999,1.000000,city128_upp,branchless_fast_modulo,0,11,1.000121,73587132,0.367936,52849531,0.264248,126436663,0.632183,14665777154,73.328886
books_200M_uint32,199999999,0.750000,city128_low,fastrange64,0,9,1.000052,125967949,0.472380,46230246,0.173363,105531529,0.527658,14452267821,72.261339
